coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
ETH,QR7_A,S,2025-09-16T01:15:00.000,4523.6,2025-09-16T01:25:00.000,4533.39513835069,SL,-0.3165,-7.91
ETH,QR7_A,L,2025-09-16T04:20:00.000,4496.84,2025-09-16T04:45:00.000,4515.747793922557,VWAP,0.3205,8.01
ETH,QR7_A,L,2025-09-16T06:35:00.000,4496.66,2025-09-16T08:00:00.000,4514.77542550089,VWAP,0.3029,7.57
ETH,QR7_A,L,2025-09-16T10:50:00.000,4503.01,2025-09-16T13:35:00.000,4481.030413078108,SL,-0.5881,-14.7
ETH,QR7_A,L,2025-09-16T13:55:00.000,4447.42,2025-09-16T17:05:00.000,4479.17307168179,VWAP,0.614,15.35
ETH,QR7_A,S,2025-09-17T02:40:00.000,4534.43,2025-09-17T03:00:00.000,4521.420922206594,VWAP,0.1869,4.67
ETH,QR7_A,L,2025-09-17T04:35:00.000,4481.03,2025-09-17T05:55:00.000,4505.667091529941,VWAP,0.4498,11.25
ETH,QR7_A,L,2025-09-17T14:30:00.000,4472.55,2025-09-17T17:40:00.000,4503.863308764497,VWAP,0.6001,15.0
ETH,QR7_A,L,2025-09-17T18:05:00.000,4501.45,2025-09-17T18:05:00.000,4498.520535846953,VWAP,-0.1651,-4.13
ETH,QR7_A,L,2025-09-17T18:15:00.000,4455.07,2025-09-17T18:25:00.000,4495.966216794622,VWAP,0.818,20.45
ETH,QR7_A,L,2025-09-17T18:40:00.000,4448.39,2025-09-17T18:50:00.000,4424.910614725649,SL,-0.6278,-15.7
ETH,QR7_A,L,2025-09-17T19:00:00.000,4454.29,2025-09-17T19:05:00.000,4490.813019183132,VWAP,0.72,18.0
ETH,QR7_A,S,2025-09-17T22:20:00.000,4538.05,2025-09-17T22:40:00.000,4575.340766442125,SL,-0.9217,-23.04
ETH,QR7_A,L,2025-09-18T01:05:00.000,4584.83,2025-09-18T01:05:00.000,4594.616349558835,VWAP,0.1135,2.84
ETH,QR7_A,S,2025-09-18T01:25:00.000,4609.61,2025-09-18T01:30:00.000,4618.7887888324885,SL,-0.2991,-7.48
