coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
BNB,M3_EMAx,L,2025-11-01 20:00:00+00:00,1094.23,2025-11-02 08:00:00+00:00,1087.49,FLIP,-0.716,-17.9
BNB,M3_EMAx,S,2025-11-02 12:00:00+00:00,1087.5,2025-11-07 04:00:00+00:00,970.62,FLIP,10.6476,266.19
BNB,M3_EMAx,L,2025-11-07 08:00:00+00:00,970.62,2025-11-07 08:00:00+00:00,943.01,FLIP,-2.9446,-73.61
BNB,M3_EMAx,S,2025-11-07 12:00:00+00:00,943.01,2025-11-07 16:00:00+00:00,982.23,FLIP,-4.259,-106.48
BNB,M3_EMAx,L,2025-11-07 20:00:00+00:00,982.22,2025-11-10 12:00:00+00:00,979.17,FLIP,-0.4105,-10.26
BNB,M3_EMAx,S,2025-11-10 16:00:00+00:00,979.17,2025-11-11 00:00:00+00:00,1000.92,FLIP,-2.3213,-58.03
BNB,M3_EMAx,L,2025-11-11 04:00:00+00:00,1000.92,2025-11-11 04:00:00+00:00,973.72,FLIP,-2.8175,-70.44
BNB,M3_EMAxF,S,2025-06-17 16:00:00+00:00,646.35,2025-06-20 04:00:00+00:00,647.46,FLIP,-0.2717,-6.79
BNB,M3_EMAxF,S,2025-06-20 20:00:00+00:00,642.85,2025-06-23 20:00:00+00:00,640.02,FLIP,0.3402,8.51
BNB,M3_EMAxF,L,2025-06-24 00:00:00+00:00,640.02,2025-07-01 12:00:00+00:00,645.74,FLIP,0.7937,19.84
BNB,M3_EMAxF,S,2025-07-01 16:00:00+00:00,645.74,2025-07-02 04:00:00+00:00,654.1576966491353,SL,-1.4036,-35.09
BNB,M3_EMAxF,L,2025-07-06 16:00:00+00:00,662.96,2025-07-08 12:00:00+00:00,658.04,FLIP,-0.8421,-21.05
BNB,M3_EMAxF,L,2025-07-08 20:00:00+00:00,660.97,2025-07-14 20:00:00+00:00,689.11,FLIP,4.1574,103.93
BNB,M3_EMAxF,L,2025-07-16 08:00:00+00:00,692.17,2025-07-24 04:00:00+00:00,759.33,FLIP,9.6028,240.07
BNB,M3_EMAxF,L,2025-07-26 00:00:00+00:00,785.98,2025-07-29 12:00:00+00:00,805.73,FLIP,2.4128,60.32
BNB,M3_EMAxF,S,2025-08-05 16:00:00+00:00,749.39,2025-08-06 04:00:00+00:00,763.49,FLIP,-1.9815,-49.54
BNB,M3_EMAxF,L,2025-08-17 04:00:00+00:00,845.18,2025-08-18 04:00:00+00:00,830.45,FLIP,-1.8428,-46.07
BNB,M3_EMAxF,L,2025-08-19 00:00:00+00:00,847.56,2025-08-19 04:00:00+00:00,838.75,FLIP,-1.1395,-28.49
BNB,M3_EMAxF,L,2025-08-19 12:00:00+00:00,846.76,2025-08-19 12:00:00+00:00,832.59,FLIP,-1.7734,-44.34
BNB,M3_EMAxF,L,2025-08-20 20:00:00+00:00,869.65,2025-08-21 16:00:00+00:00,839.7216909438554,SL,-3.5414,-88.54
BNB,M3_EMAxF,L,2025-08-22 12:00:00+00:00,849.48,2025-08-24 08:00:00+00:00,861.99,FLIP,1.3727,34.32
BNB,M3_EMAxF,L,2025-08-27 00:00:00+00:00,864.17,2025-08-29 08:00:00+00:00,854.97,FLIP,-1.1646,-29.12
BNB,M3_EMAxF,S,2025-08-29 12:00:00+00:00,854.97,2025-08-31 00:00:00+00:00,863.62,FLIP,-1.1117,-27.79
BNB,M3_EMAxF,L,2025-08-31 04:00:00+00:00,863.61,2025-08-31 04:00:00+00:00,859.01,FLIP,-0.6326,-15.82
BNB,M3_EMAxF,S,2025-08-31 08:00:00+00:00,859.0,2025-08-31 16:00:00+00:00,865.1,FLIP,-0.8101,-20.25
BNB,M3_EMAxF,L,2025-08-31 20:00:00+00:00,865.1,2025-08-31 20:00:00+00:00,858.08,FLIP,-0.9115,-22.79
BNB,M3_EMAxF,S,2025-09-01 00:00:00+00:00,858.09,2025-09-01 04:00:00+00:00,865.94,FLIP,-1.0148,-25.37
BNB,M3_EMAxF,L,2025-09-01 08:00:00+00:00,865.93,2025-09-01 08:00:00+00:00,852.48,FLIP,-1.6532,-41.33
BNB,M3_EMAxF,S,2025-09-01 12:00:00+00:00,852.48,2025-09-03 08:00:00+00:00,854.33,FLIP,-0.317,-7.93
BNB,M3_EMAxF,S,2025-09-04 04:00:00+00:00,849.08,2025-09-05 16:00:00+00:00,851.19,FLIP,-0.3485,-8.71
BNB,M3_EMAxF,L,2025-09-16 08:00:00+00:00,931.47,2025-09-22 08:00:00+00:00,1019.05,FLIP,9.3023,232.56
BNB,M3_EMAxF,L,2025-09-24 00:00:00+00:00,1016.86,2025-09-24 00:00:00+00:00,1002.96,FLIP,-1.467,-36.67
BNB,M3_EMAxF,L,2025-09-24 08:00:00+00:00,1018.4,2025-09-25 00:00:00+00:00,1000.12,FLIP,-1.895,-47.37
BNB,M3_EMAxF,L,2025-10-12 12:00:00+00:00,1228.82,2025-10-14 04:00:00+00:00,1194.74,FLIP,-2.8734,-71.83
BNB,M3_EMAxF,S,2025-10-14 08:00:00+00:00,1194.74,2025-10-19 12:00:00+00:00,1117.95,FLIP,6.3273,158.18
BNB,M3_EMAxF,S,2025-10-21 00:00:00+00:00,1099.73,2025-10-23 04:00:00+00:00,1108.8,FLIP,-0.9247,-23.12
BNB,M3_EMAxF,S,2025-11-02 12:00:00+00:00,1087.5,2025-11-07 04:00:00+00:00,970.62,FLIP,10.6476,266.19
BNB,M3_EMAxF,S,2025-11-07 12:00:00+00:00,943.01,2025-11-07 16:00:00+00:00,982.23,FLIP,-4.259,-106.48
BNB,M3_EMAxF,S,2025-11-10 16:00:00+00:00,979.17,2025-11-11 00:00:00+00:00,1000.92,FLIP,-2.3213,-58.03
BNB,M4_GoldenPocket,L,2025-07-22 08:00:00+00:00,750.835,2025-07-24 04:00:00+00:00,750.835,BE,2.026,50.65
BNB,M4_GoldenPocket,L,2025-07-24 08:00:00+00:00,773.9075499999999,2025-07-25 00:00:00+00:00,756.99,SL,-2.286,-57.15
BNB,M4_GoldenPocket,L,2025-07-29 12:00:00+00:00,800.5495,2025-08-01 04:00:00+00:00,773.8,SL,-3.4414,-86.03
BNB,M4_GoldenPocket,L,2025-08-15 12:00:00+00:00,825.96105,2025-09-04 16:00:00+00:00,825.96105,TIME,3.6488,91.22
